time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,model_x_ddot_mps2,model_theta_ddot_radps2,forward_dynamics_equation_residual_inf
0.010000,-0.000011123,0.080223217,0.000000000,0.000000000,6.811952264,18.087714,1,Solve_Succeeded,6.368906152,-13.890258545,8.881784197001e-16
0.020000,0.000614643,0.079057542,0.053190128,-0.099082348,6.811952264,18.087714,1,Solve_Succeeded,6.368906152,-13.890258545,8.881784197001e-16
0.030000,0.001877481,0.076499418,0.115319782,-0.232302916,1.702521279,4.009225,1,Solve_Succeeded,1.513510905,-1.896285198,6.938893903907e-18
0.040000,0.003291675,0.073751615,0.137504433,-0.268408679,1.702521279,4.009225,1,Solve_Succeeded,1.513510905,-1.896285198,6.938893903907e-18
0.050000,0.004857618,0.070806434,0.153730823,-0.290601744,0.050916424,2.841038,1,Solve_Succeeded,-0.049912264,1.857481244,0.000000000000e+00
0.060000,0.006418572,0.068047003,0.155740691,-0.278141884,0.050916424,2.841038,1,Solve_Succeeded,-0.049912264,1.857481244,0.000000000000e+00
0.070000,0.007974913,0.065465661,0.155650063,-0.261135312,0.261251604,2.694005,1,Solve_Succeeded,0.157562756,1.209991225,5.551115123126e-17
0.080000,0.009547009,0.063005341,0.156975725,-0.248297543,0.261251604,2.694005,1,Solve_Succeeded,0.157562756,1.209991225,5.551115123126e-17
0.090000,0.011135200,0.060659169,0.158542610,-0.236669257,0.409469522,2.511612,1,Solve_Succeeded,0.305249532,0.724228968,5.551115123126e-17
0.100000,0.012753916,0.058385432,0.161372217,-0.228767959,0.409469522,2.511612,1,Solve_Succeeded,0.305249532,0.724228968,5.551115123126e-17
0.110000,0.014403471,0.056177771,0.164418013,-0.221966379,0.378990793,2.960784,1,Solve_Succeeded,0.282453439,0.671269785,0.000000000000e+00
0.120000,0.016081271,0.054037243,0.167275692,-0.215239845,0.378990793,2.960784,1,Solve_Succeeded,0.282453439,0.671269785,0.000000000000e+00
0.130000,0.017787613,0.051957862,0.170130407,-0.209033385,0.331637159,2.894520,1,Solve_Succeeded,0.243238817,0.665677254,3.469446951954e-18
