time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,first_x_ddot_mps2,first_theta_ddot_radps2,passive_hinge_id_residual_Nm
0.010000,-0.000011123,0.080223217,0.000000000,0.000000000,6.613993119,14.992716,1,Solve_Succeeded,6.180576080,-13.421468490,-6.938893903907e-17
0.020000,0.000595810,0.079104419,0.051589318,-0.095097826,6.613993119,14.992716,1,Solve_Succeeded,6.180576080,-13.421468490,-6.938893903907e-17
0.030000,0.001820974,0.076640196,0.111877353,-0.223723652,1.849771170,3.030854,1,Solve_Succeeded,1.653393614,-2.241099101,-6.938893903907e-18
0.040000,0.003211481,0.073951818,0.134974726,-0.262070691,1.849771170,3.030854,1,Solve_Succeeded,1.653393614,-2.241099101,-6.938893903907e-18
0.050000,0.004767719,0.071031736,0.152526405,-0.287517520,0.144423644,3.430592,1,Solve_Succeeded,0.038746301,1.642142688,0.000000000000e+00
0.060000,0.006327833,0.068275870,0.155488673,-0.277376226,0.144423644,3.430592,1,Solve_Succeeded,0.038746301,1.642142688,0.000000000000e+00
0.070000,0.007892201,0.065676563,0.156294558,-0.262547572,0.254763200,2.726565,1,Solve_Succeeded,0.151098595,1.231259848,0.000000000000e+00
0.080000,0.009471678,0.063200402,0.157699763,-0.249855830,0.254763200,2.726565,1,Solve_Succeeded,0.151098595,1.231259848,0.000000000000e+00
0.090000,0.011066606,0.060840472,0.159223821,-0.238072372,0.395032309,3.987746,1,Solve_Succeeded,0.291259409,0.763542557,-6.938893903907e-18
0.100000,0.012690659,0.058556910,0.161928091,-0.229813625,0.395032309,3.987746,1,Solve_Succeeded,0.291259409,0.763542557,-6.938893903907e-18
0.110000,0.014344154,0.056343329,0.164836277,-0.222626510,0.378260941,2.931402,1,Solve_Succeeded,0.281529273,0.677629902,0.000000000000e+00
0.120000,0.016025801,0.054197516,0.167665459,-0.215788058,0.378260941,2.931402,1,Solve_Succeeded,0.281529273,0.677629902,0.000000000000e+00
0.130000,0.017735899,0.052113471,0.170508104,-0.209511987,0.334315153,4.941488,1,Solve_Succeeded,0.245571783,0.663671058,-3.469446951954e-18
0.140000,0.019470553,0.050095797,0.173021818,-0.202929103,0.334315153,4.941488,1,Solve_Succeeded,0.245571783,0.663671058,-3.469446951954e-18
0.150000,0.021230044,0.048138851,0.175510016,-0.196779774,0.301722682,3.181657,1,Solve_Succeeded,0.220069575,0.629912907,0.000000000000e+00
0.160000,0.023011542,0.046244898,0.177753797,-0.190502976,0.301722682,3.181657,1,Solve_Succeeded,0.220069575,0.629912907,0.000000000000e+00
0.170000,0.024815309,0.044408641,0.179983300,-0.184657264,0.275092775,2.749685,1,Solve_Succeeded,0.199906939,0.588835098,3.469446951954e-18
0.180000,0.026639067,0.042631269,0.182016898,-0.178775252,0.275092775,2.749685,1,Solve_Succeeded,0.199906939,0.588835098,3.469446951954e-18
0.190000,0.028483062,0.040907810,0.184042137,-0.173310332,0.249938956,3.236842,1,Solve_Succeeded,0.180833585,0.550666639,0.000000000000e+00
0.200000,0.030345140,0.039239417,0.185882977,-0.167809923,0.249938956,3.236842,1,Solve_Succeeded,0.180833585,0.550666639,0.000000000000e+00
0.210000,0.032225534,0.037621424,0.187715910,-0.162700853,0.225901692,2.837812,1,Solve_Succeeded,0.162527241,0.515844046,0.000000000000e+00
0.220000,0.034122180,0.036055016,0.189372304,-0.157549843,0.225901692,2.837812,1,Solve_Succeeded,0.162527241,0.515844046,0.000000000000e+00
0.230000,0.036035297,0.034535810,0.191020776,-0.152764985,0.203237315,2.707689,1,Solve_Succeeded,0.145250331,0.483376001,0.000000000000e+00
0.240000,0.037962939,0.033064941,0.192502653,-0.147938601,0.203237315,2.707689,1,Solve_Succeeded,0.145250331,0.483376001,0.000000000000e+00
0.250000,0.039905310,0.031638295,0.193976976,-0.143455739,0.181938236,2.581038,1,Solve_Succeeded,0.129012782,0.452925941,0.000000000000e+00
0.260000,0.041860583,0.030256940,0.195294714,-0.138933486,0.181938236,2.581038,1,Solve_Succeeded,0.129012782,0.452925941,0.000000000000e+00
0.270000,0.043828949,0.028917013,0.196605348,-0.134733811,0.161902456,2.806728,1,Solve_Succeeded,0.113733619,0.424404185,0.000000000000e+00
0.280000,0.045808689,0.027619526,0.197768664,-0.130496471,0.161902456,2.806728,1,Solve_Succeeded,0.113733619,0.424404185,0.000000000000e+00
0.290000,0.047799982,0.026360849,0.198925277,-0.126562044,0.143041077,3.217013,1,Solve_Succeeded,0.099343371,0.397710908,1.734723475977e-18
0.300000,0.049801211,0.025141942,0.199943175,-0.122591383,0.143041077,3.217013,1,Solve_Succeeded,0.099343371,0.397710908,1.734723475977e-18
0.310000,0.051812543,0.023959396,0.200954734,-0.118905176,0.125280635,3.472124,1,Solve_Succeeded,0.085786338,0.372729525,0.000000000000e+00
0.320000,0.053832454,0.022814121,0.201835642,-0.115184086,0.125280635,3.472124,1,Solve_Succeeded,0.085786338,0.372729525,0.000000000000e+00
0.330000,0.055861103,0.021702915,0.202710551,-0.111730154,0.108553452,2.639916,1,Solve_Succeeded,0.073011448,0.349348406,-1.734723475977e-18
0.340000,0.057897054,0.020626643,0.203462376,-0.108242641,0.108553452,2.639916,1,Solve_Succeeded,0.073011448,0.349348406,-1.734723475977e-18
0.350000,0.059940456,0.019582294,0.204208522,-0.105006081,0.092795516,2.969859,1,Solve_Succeeded,0.060970297,0.327464694,0.000000000000e+00
0.360000,0.061989955,0.018570691,0.204838685,-0.101737181,0.092795516,2.969859,1,Solve_Succeeded,0.060970297,0.327464694,0.000000000000e+00
0.370000,0.064045692,0.017589003,0.205463468,-0.098704048,0.077946732,3.290797,1,Solve_Succeeded,0.049617423,0.306982588,0.000000000000e+00
